Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
26703,8.4,349,66,11,13,8,5,2,1,0,18,5,3413,1
24836,8.8,295,55,11,10,10,7,1,1,0,22,4,1170,0
23666,8.6,312,86,10,6,11,1,0,0,0,21,2,-1170,1
26989,9,332,79,14,8,7,7,2,0,0,17,3,4228,1
22761,8.4,301,63,7,5,14,3,0,1,0,22,3,-4228,0
22475,8.4,277,47,9,6,10,0,0,0,0,20,2,-2658,0
25133,8.8,330,83,10,9,9,4,0,1,0,12,4,2658,1
26035,8.6,271,81,14,13,5,8,1,2,0,16,7,4170,1
21865,8.2,307,77,5,3,14,5,0,0,0,18,1,-4170,0
24437,8.4,290,56,15,9,14,3,0,0,0,23,3,922,0
23515,8.4,269,63,14,6,15,1,0,2,0,19,1,-922,1
27581,8.8,336,64,14,9,11,6,1,1,0,24,7,4516,1
23065,8.2,292,52,11,11,14,0,0,0,0,20,3,-4516,0
24611,8.6,297,78,12,16,5,5,1,1,0,20,3,3453,1
21158,8.4,291,66,5,4,12,1,0,0,0,20,3,-3453,0
27024,8.6,294,78,17,12,14,6,1,0,0,24,2,2170,1
24854,8.4,261,74,14,13,17,2,0,1,0,13,6,-2170,0
28115,8.8,308,77,16,17,12,8,1,1,0,16,5,4123,0
23992,8.2,251,70,12,14,16,1,0,0,0,17,4,-4123,1
24363,8.8,282,56,12,13,20,0,0,1,0,18,1,-4309,1
28672,9,307,96,20,12,12,9,1,0,0,21,2,4309,0
23875,8.8,295,80,10,15,5,1,0,1,0,31,5,622,0
23253,8.6,340,68,5,9,10,6,0,1,0,25,3,-622,1
25077,8.6,276,73,14,7,18,2,0,1,0,18,2,-4570,1
29647,9.6,358,94,18,12,14,10,2,0,0,21,4,4570,0
23449,8.4,234,72,12,10,14,2,0,2,0,22,6,-2833,0
26282,8,245,64,14,14,12,8,2,0,0,27,0,2833,1
26592,8.6,291,78,14,17,14,3,1,1,0,14,5,-342,1
26934,8.4,237,86,14,16,14,6,1,0,0,27,2,342,0
27615,8.8,342,96,10,6,12,9,2,1,0,22,1,4886,1
22729,8.4,241,48,12,11,10,2,0,0,0,20,1,-4886,0
24092,8.8,296,70,12,6,8,2,1,0,0,18,2,1882,1
22210,8.6,302,66,8,1,12,4,0,1,0,15,4,-1882,0
22161,8.6,293,62,9,7,11,0,0,0,0,23,2,-2823,0
24984,8.6,318,63,11,6,9,7,1,0,0,22,0,2823,1
23785,8.4,298,85,12,8,10,1,0,0,0,22,5,-776,0
24561,8.4,312,90,10,6,12,6,1,1,0,22,2,776,1
26330,9,291,78,14,10,15,6,1,2,0,18,3,-125,0
26455,8.8,300,70,15,12,14,4,0,0,0,16,1,125,1
23037,8.4,291,76,9,13,6,2,0,1,0,27,3,538,1
22499,8,288,52,6,9,9,4,1,0,0,19,2,-538,0
29556,9.4,303,83,21,23,6,8,2,2,0,16,8,8229,1
21327,8.4,288,72,6,3,21,1,0,0,0,22,1,-8229,0
22056,8.2,275,64,8,8,16,0,0,0,0,19,3,-5210,1
27266,9.2,353,84,16,10,8,5,0,1,0,20,3,5210,0
22881,8.4,304,66,10,9,8,0,0,0,0,25,3,-1255,0
24136,9,326,102,8,5,10,2,0,2,0,21,3,1255,1
24579,8.6,336,60,12,7,13,3,0,1,0,27,5,12,1
24567,8.8,344,52,13,8,12,2,0,0,0,22,3,-12,0
21120,8.8,336,74,4,2,9,3,0,0,0,24,1,-3250,1
24370,8.8,346,78,9,8,4,4,0,1,0,22,6,3250,0
25494,8.6,294,78,13,8,13,6,1,1,0,19,6,314,0
25180,8.4,285,74,13,10,13,3,0,1,0,21,4,-314,1
23979,8.6,283,64,12,10,9,3,0,0,0,23,6,63,1
23916,8.4,288,91,9,9,12,1,0,2,0,18,4,-63,0
23589,8.6,276,44,13,9,11,2,0,0,1,13,2,61,0
23528,8.6,269,76,11,4,13,5,0,1,0,21,0,-61,1
20641,8.6,234,48,12,3,9,1,0,0,0,19,0,-1327,0
21968,8.6,274,72,9,5,12,5,0,1,1,13,0,1327,1
22659,8.8,280,84,11,7,11,0,0,1,0,16,0,903,1
21756,8.4,223,60,11,9,11,2,0,0,0,14,0,-903,0
26573,8.6,301,56,14,12,12,8,2,1,1,15,1,2370,1
24203,8.2,252,68,12,10,14,5,1,0,0,11,1,-2370,0
20612,8,221,68,11,1,11,0,0,1,0,12,4,-4013,0
24625,8.6,366,4,11,8,11,9,0,0,0,22,2,4013,1
26944,9.2,314,84,16,15,5,4,0,1,0,21,2,5930,1
21014,8.2,251,60,5,5,16,3,0,0,1,17,4,-5930,0
25274,9.2,293,91,14,10,10,2,0,1,1,19,0,3271,0
22003,8.6,259,55,10,8,14,2,0,0,0,16,4,-3271,1
22904,8.8,289,60,12,9,13,1,0,0,0,11,1,810,0
22094,8.6,240,56,13,7,12,2,0,1,0,15,0,-810,1
19396,7.8,206,41,7,8,16,1,0,0,0,13,1,-8179,0
27575,8.8,318,66,16,9,7,11,2,1,0,13,2,8179,1
21856,8.4,221,69,7,7,9,4,2,0,1,18,1,224,1
21632,8.4,257,90,9,6,7,3,0,1,0,18,0,-224,0
19919,8,216,4,9,7,15,1,0,0,0,13,3,-5849,0
25768,9,258,100,15,5,9,7,2,1,1,11,0,5849,1
24243,8.6,229,52,15,10,12,6,1,0,1,16,0,3198,0
21045,8.6,192,72,12,4,15,2,0,1,0,12,0,-3198,1
21700,8.6,215,72,12,8,6,1,0,1,0,19,0,458,1
21242,8.2,308,35,6,2,12,5,0,0,0,14,1,-458,0
23254,8.4,225,60,13,8,14,3,0,1,1,20,0,396,1
22858,8.4,241,56,14,12,13,2,0,0,0,17,2,-396,0
26064,9,272,76,19,5,14,3,1,1,0,10,1,2795,1
23269,8.4,226,52,14,8,19,1,0,0,1,18,0,-2795,0
23822,8.4,291,70,10,12,21,0,0,1,0,16,2,-6998,0
30820,9,357,77,21,22,10,10,2,0,0,20,5,6998,1
36581,9.4,369,60,34,41,7,7,5,1,0,21,3,16026,1
20555,7.6,207,65,7,9,34,0,0,0,0,20,1,-16026,0
27576,9,324,58,14,19,23,3,0,1,0,27,8,-5865,0
33441,9.8,392,105,23,22,14,6,1,1,0,26,7,5865,1
23050,8.8,335,76,7,4,14,1,0,0,0,24,4,-3785,0
26835,9.4,378,59,14,11,7,3,1,1,0,17,7,3785,1
23539,8.4,289,82,8,11,13,2,0,1,0,19,5,-3996,0
27535,9,367,77,13,23,8,4,0,0,0,22,7,3996,1
29600,9,373,72,19,25,7,5,1,0,0,20,6,5014,1
24586,9,342,62,7,9,19,3,0,1,0,21,5,-5014,0
20815,7.2,235,60,7,5,21,0,0,0,0,32,5,-14602,0
35417,9,381,96,21,24,7,11,8,2,0,20,4,14602,1
25465,8.4,266,69,13,13,22,1,0,1,0,20,2,-5747,0
31212,9.2,383,64,22,25,13,8,1,0,0,21,6,5747,1
28411,9.2,370,83,15,18,6,8,1,1,0,22,4,7173,1
21238,8.6,275,50,6,5,15,1,0,0,0,26,1,-7173,0
27965,8.2,352,65,14,27,9,9,1,1,0,20,10,5904,1
22061,7.8,245,50,9,15,14,2,0,0,0,20,8,-5904,0
23840,8.6,307,74,7,6,15,4,0,1,0,22,1,-4490,0
28330,8.8,357,73,15,25,7,4,2,0,0,23,4,4490,1
24023,8.4,260,81,13,18,14,2,0,0,0,26,5,-4435,0
28458,8.8,361,72,14,18,13,13,2,2,0,20,9,4435,1
26500,8.6,346,77,12,13,10,3,0,0,0,18,4,-298,0
26798,9,364,109,10,9,12,5,1,2,0,23,7,298,1
23304,8.4,333,70,6,7,12,1,0,0,0,23,10,-2574,0
25878,8.8,362,64,12,11,6,3,0,1,0,18,7,2574,1
29547,9.4,347,72,18,24,10,7,1,1,0,22,5,5503,1
24044,8.4,294,70,10,11,18,3,0,0,0,18,5,-5503,0
25926,8.8,282,62,13,17,24,1,0,0,0,22,2,-7367,0
33293,9.4,358,93,24,17,13,11,3,2,0,25,4,7367,1
28143,9,358,86,17,25,9,1,0,1,0,21,11,1943,1
26200,8.4,361,70,9,14,17,3,1,1,0,22,12,-1943,0
21937,8.4,287,54,5,11,14,0,0,0,0,18,7,-8532,0
30469,9.4,400,112,14,13,5,7,2,1,0,24,10,8532,1
26739,8.6,360,72,13,13,11,6,0,1,0,23,4,581,1
26158,8.6,322,84,11,12,13,3,1,0,0,21,5,-581,0
26397,8.6,335,74,9,14,15,6,1,1,0,22,4,-255,0
26652,8.6,352,53,15,25,9,3,0,0,0,25,8,255,1
25821,8.6,303,80,13,10,10,5,1,1,0,23,5,713,1
25108,8.6,325,57,10,19,13,2,0,0,0,24,9,-713,0
23683,8.8,292,92,9,9,14,3,0,0,0,21,9,-4843,0
28526,9,341,70,14,19,9,10,2,1,0,20,6,4843,1
29408,9.4,340,96,18,20,9,8,1,1,0,24,10,4645,1
24763,8.8,362,82,9,7,18,4,0,0,0,24,10,-4645,0
26826,8.8,328,88,15,13,12,3,0,1,0,25,8,567,1
26259,8.8,351,87,12,13,15,2,0,1,0,22,4,-567,0
26404,8.8,316,78,16,17,12,2,0,0,0,30,7,608,0
25796,8.6,381,73,12,18,16,2,0,1,0,26,5,-608,1
29708,9,335,88,19,20,18,3,1,1,0,29,9,546,1
29162,8.6,301,79,18,17,19,4,1,1,0,25,7,-546,0
27558,8.8,335,80,15,20,18,2,0,1,0,28,6,-1419,1
28977,9,336,83,18,24,15,4,0,1,0,23,5,1419,0
30994,9.2,369,92,21,16,7,9,2,2,0,20,7,8048,1
22946,8.4,311,80,7,6,21,0,0,0,0,25,5,-8048,0
24141,8.6,308,77,11,11,15,1,0,1,0,28,5,-3256,0
27397,9,334,78,15,16,11,4,1,0,0,22,10,3256,1
26464,8.4,275,62,15,19,18,4,0,1,0,19,6,-2383,0
28847,8.8,372,77,18,15,15,4,1,1,0,21,4,2383,1
24871,8.8,352,84,11,15,8,1,0,1,0,23,9,-515,0
25386,8.6,381,76,8,9,11,7,0,0,0,21,8,515,1
29264,9.2,341,84,20,30,7,4,1,1,0,30,9,4728,1
24536,8.8,381,68,7,11,20,1,0,0,0,23,8,-4728,0
24793,8.6,336,64,11,7,17,5,0,0,0,20,10,-2526,0
27319,9,334,72,17,20,11,3,0,1,0,19,8,2526,1
21180,8.4,216,49,7,6,24,0,0,0,0,25,3,-12764,0
33944,9.6,381,93,24,21,7,10,4,2,0,23,5,12764,1
30429,9,343,90,17,16,14,7,2,0,0,28,6,5759,1
24670,8.6,266,56,14,24,17,1,0,1,0,17,7,-5759,0
24524,8.6,312,64,11,12,10,4,0,0,0,17,4,-1646,0
26170,8.8,328,99,10,12,11,5,1,2,0,19,6,1646,1
25195,8.8,348,81,12,12,8,1,0,0,0,24,8,522,1
24673,9,345,78,8,7,12,2,0,1,0,21,8,-522,0
31517,9,336,75,22,16,6,7,3,1,0,19,7,9806,1
21711,8.2,269,80,6,8,22,2,0,0,0,28,4,-9806,0
27379,8.8,332,76,15,15,11,6,0,0,0,17,6,2596,1
24783,8.8,320,76,11,11,15,3,0,1,0,25,5,-2596,0
29744,9,292,87,20,13,16,9,1,0,0,21,2,3910,1
25834,9,287,49,16,12,20,1,0,0,0,17,3,-3910,0
33099,9.6,344,84,26,25,10,10,2,2,0,19,3,6760,1
26339,8.4,329,88,10,10,26,5,1,0,0,28,4,-6760,0
25796,8.6,301,95,13,14,18,1,0,0,0,22,4,-2897,0
28693,9.2,367,84,18,20,13,3,0,2,0,19,13,2897,1
25754,8.8,360,89,10,15,15,1,0,0,0,22,8,-2307,0
28061,9.2,385,78,15,17,10,3,0,2,0,21,8,2307,1
23067,8.4,315,74,8,11,14,0,0,1,0,17,11,-4536,0
27603,9.2,363,85,14,19,8,3,0,1,0,17,4,4536,1
26603,8.4,329,56,18,18,11,2,0,0,0,23,1,1443,1
25160,8.8,303,88,11,11,18,4,0,2,0,25,8,-1443,0
21596,8.2,306,55,6,7,6,2,0,1,0,16,7,-1408,0
23004,8.8,364,70,6,7,6,3,0,0,0,17,3,1408,1
28084,9,328,66,17,22,13,3,0,1,0,20,6,2789,1
25295,8.8,335,78,13,13,17,1,0,1,0,14,2,-2789,0
28975,9,348,88,19,14,9,8,1,0,0,18,3,5278,1
23697,8.4,280,55,9,14,19,2,0,1,0,14,5,-5278,0
27210,9,265,84,18,16,6,6,1,1,0,22,2,5472,1
21738,8.2,296,64,6,5,18,0,0,1,0,16,3,-5472,0
23922,8.6,321,90,7,8,4,6,0,1,0,21,1,3252,1
20670,8.6,302,70,4,6,7,2,0,0,0,22,3,-3252,0
28967,9.2,303,72,19,17,12,2,1,1,0,18,2,4790,1
24177,8.2,312,75,12,10,19,3,0,1,0,16,3,-4790,0
24944,8.2,284,64,13,16,13,6,0,1,0,13,1,902,1
24042,8.2,287,63,13,9,13,3,0,0,0,15,3,-902,0
26801,9,313,80,13,11,11,7,1,1,0,19,6,1123,1
25678,8.4,361,72,11,20,13,7,0,0,0,18,1,-1123,0
24733,8.8,315,80,11,10,9,4,0,1,0,17,2,1923,1
22810,8.4,286,72,9,8,11,1,0,1,0,18,3,-1923,0
26030,9,321,72,12,7,16,6,1,0,0,16,3,319,1
25711,9,302,76,16,13,12,4,0,2,0,25,2,-319,0
29368,9.4,364,74,19,23,2,3,1,1,0,22,6,10215,1
19153,7.8,268,81,2,2,19,1,0,1,0,16,3,-10215,0
25601,8.8,278,88,12,14,15,4,1,2,0,18,3,-836,1
26437,8.4,292,68,15,14,12,2,0,0,0,17,6,836,0
24362,8.8,328,70,10,10,3,6,0,1,0,15,3,3728,1
20634,8.6,292,90,3,2,10,1,0,1,0,19,2,-3728,0
23596,8.4,285,58,13,8,11,4,0,0,0,17,3,-1386,1
24982,8.6,302,78,11,15,13,5,0,2,0,12,3,1386,0
29361,9,311,62,23,15,10,9,2,0,0,21,4,6975,1
22386,7.6,246,61,10,5,23,2,0,1,0,19,3,-6975,0
24070,8.8,261,84,14,7,10,3,0,1,0,16,0,-296,0
24366,9,344,62,10,7,14,4,0,1,0,18,1,296,1
26861,8.8,312,73,15,18,12,4,0,0,0,16,5,1783,1
25078,8.6,295,68,12,11,15,5,1,1,0,18,5,-1783,0
23998,8.8,357,71,9,8,10,1,0,0,0,21,4,-2376,0
26374,8.8,337,76,10,12,9,9,2,1,0,22,1,2376,1
25094,8.2,260,58,15,14,18,5,1,0,0,19,2,-3686,0
28780,9.4,301,90,18,14,15,7,1,1,0,21,1,3686,1
23737,8.8,324,65,9,8,12,1,0,0,0,10,2,-48,0
23785,8.8,313,66,12,11,9,3,0,2,0,18,4,48,1
22566,8.4,275,52,11,7,10,0,0,0,0,19,1,-1988,0
24554,8.8,341,84,10,5,11,3,0,1,0,25,3,1988,1
22450,9,299,84,9,5,8,3,0,1,0,15,3,-22,1
22472,8.8,282,82,8,4,9,5,0,0,0,13,0,22,0
26175,8.6,335,84,11,13,12,4,0,1,0,21,2,721,1
25454,8.6,311,72,12,13,11,4,1,1,0,17,5,-721,0
24282,8.6,293,93,9,10,17,0,0,0,0,22,4,-3224,0
27506,9,294,76,17,18,9,6,1,1,0,21,2,3224,1
23982,8.4,265,64,11,15,21,1,0,0,0,19,6,-5269,0
29251,8.8,323,80,21,14,11,9,2,1,0,15,5,5269,1
28309,8.4,253,70,18,27,26,1,0,0,0,20,3,-2374,0
30683,8.8,297,74,26,30,18,6,0,2,0,18,8,2374,1
23861,8.6,324,72,9,13,17,0,0,2,0,23,6,-5925,0
29786,9.2,344,92,17,16,9,6,1,0,0,19,5,5925,1
26980,9,359,90,12,6,8,9,2,0,0,23,3,3385,1
23595,8.8,312,82,8,17,12,0,0,1,0,24,3,-3385,0
26612,9.2,311,92,13,13,9,3,1,1,0,17,2,2737,1
23875,9,299,90,9,6,13,3,0,1,0,21,4,-2737,0
26660,8.4,291,71,15,15,15,4,0,1,0,22,2,28,0
26632,8.4,272,67,15,12,15,8,1,0,0,23,1,-28,1
26310,8.8,301,84,15,13,21,1,0,1,0,18,3,-3197,0
29507,9.4,333,92,21,15,15,7,0,1,0,23,4,3197,1
23369,8.4,293,67,7,7,23,1,0,1,0,22,2,-7911,0
31280,9.2,277,108,23,11,7,10,2,1,0,17,3,7911,1
32392,9.2,343,88,26,20,11,8,1,1,0,20,1,7189,1
25203,8.2,277,70,11,9,26,5,0,0,0,19,4,-7189,0
27694,8,269,76,18,22,13,3,1,0,0,20,3,553,0
27141,9,371,80,13,7,18,0,0,2,0,22,4,-553,1
27271,8.8,295,82,16,18,13,0,0,0,0,23,7,-1767,0
29038,9,345,94,13,18,16,7,1,1,0,24,3,1767,1
23973,8.8,262,50,11,4,16,6,1,0,0,24,2,-4671,0
28644,9,320,100,16,16,11,6,1,2,0,21,3,4671,1
27157,9,333,80,14,11,8,4,0,2,0,21,3,5086,1
22071,8.4,300,68,8,7,14,1,0,0,0,22,3,-5086,0
31352,9,323,108,19,19,14,8,3,1,0,20,4,6707,1
24645,8.4,258,46,14,14,19,0,0,0,0,16,1,-6707,0
28427,9.4,306,76,20,25,8,4,0,1,0,24,4,5338,1
23089,8.8,281,82,8,9,20,2,0,1,0,23,4,-5338,0
30165,9,317,79,22,23,10,5,1,1,0,20,6,5526,1
24639,8.4,323,72,10,10,22,2,0,0,0,24,4,-5526,0
23566,8.6,299,69,9,8,13,3,0,1,0,17,5,-2465,0
26031,8.8,292,88,13,19,9,4,0,0,0,20,6,2465,1
30054,9,332,89,19,13,8,7,2,0,0,26,8,7815,0
22239,8.4,309,72,8,8,19,0,0,0,0,21,2,-7815,1
28835,8.8,292,77,19,15,16,7,2,1,0,24,3,4192,1
24643,8.4,257,52,16,11,19,0,0,0,0,21,3,-4192,0
33632,8.8,304,64,27,27,22,5,1,1,0,21,2,4754,1
28878,8.4,274,62,22,27,27,2,0,0,0,25,4,-4754,0
24131,8.8,335,88,11,3,11,1,0,2,0,23,5,62,0
24069,8.8,322,72,11,10,11,1,0,0,0,20,1,-62,1
23841,8.6,303,82,8,7,17,2,0,0,0,15,4,-4735,0
28576,8.8,323,58,17,26,8,6,1,2,0,24,4,4735,1
21873,8.2,269,70,7,11,12,2,0,1,0,20,6,-5165,0
27038,8.8,313,85,12,13,7,9,2,0,0,20,6,5165,1
22416,8.6,311,82,7,8,12,0,0,0,0,19,2,-4566,0
26982,9,382,65,12,7,7,7,2,1,0,18,6,4566,1
26195,9.2,334,88,12,8,10,4,0,2,0,24,3,3289,1
22906,8.8,293,76,10,6,12,0,0,0,0,24,6,-3289,0
30656,9,331,65,20,20,18,6,2,0,0,23,5,4470,1
26186,8.6,234,68,18,15,20,2,0,2,0,20,2,-4470,0
26594,8.8,320,90,13,9,12,3,1,0,0,22,4,905,0
25689,9,311,86,12,10,13,6,1,1,0,20,3,-905,1
27721,8.8,300,72,17,26,12,4,1,2,0,19,2,2220,1
25501,8.6,317,72,12,12,17,2,0,0,0,15,3,-2220,0
26485,8.6,257,68,16,26,19,1,0,0,0,19,3,-4426,0
30911,9,339,84,19,18,16,7,2,0,0,17,2,4426,1
25199,9.2,343,72,11,11,9,3,0,0,0,19,5,-403,1
25602,9.2,329,112,9,8,11,4,0,1,0,21,7,403,0
25008,8.6,290,91,12,9,13,3,0,0,0,20,2,-1219,0
26227,8.8,301,73,13,12,12,6,1,1,0,20,3,1219,1
24671,8.6,306,74,13,10,18,6,0,0,0,18,5,-2940,0
27611,8.8,309,78,18,16,13,3,0,1,0,23,11,2940,1
24684,8.6,326,66,12,12,10,4,0,1,0,17,3,-137,1
24821,8.4,255,82,10,15,12,2,0,1,0,17,5,137,0
26316,9,376,94,7,5,3,9,2,2,0,15,3,5405,1
20911,8.4,316,90,3,2,7,4,0,0,0,14,2,-5405,0
26337,8.4,276,60,17,20,16,2,0,1,0,20,5,-1728,1
28065,8.8,292,80,16,17,17,4,1,0,0,20,4,1728,0
26550,9,296,101,11,13,12,5,1,1,0,21,0,2360,1
24190,8.4,285,48,12,14,11,2,0,0,0,22,5,-2360,0
23383,8.8,315,98,6,5,8,3,0,1,0,20,0,2535,1
20848,8,264,22,8,7,6,1,0,0,0,24,5,-2535,0
22848,8.6,266,79,9,14,9,3,0,2,0,20,5,-704,0
23552,8.6,281,87,9,13,9,2,0,0,0,16,9,704,1
21529,8.4,273,76,6,6,8,2,0,2,0,18,9,-2962,0
24491,8.6,346,76,8,5,6,6,1,0,0,22,5,2962,1
25143,8.6,315,82,10,16,15,2,0,0,0,20,5,-1259,1
26402,8.6,281,70,15,20,10,1,0,1,0,23,5,1259,0
23669,8.6,265,78,10,14,17,3,0,2,0,16,4,-5500,0
29169,8.8,343,70,17,19,10,5,1,0,0,19,3,5500,1
26525,9,315,96,12,12,8,6,1,2,0,16,2,5037,1
21488,7.8,225,63,8,7,12,2,0,0,0,13,1,-5037,0
25355,8.4,308,84,8,7,15,5,1,0,0,25,3,-852,0
26207,8.8,304,70,15,13,8,3,0,1,0,24,5,852,1
25389,8.4,256,84,12,11,17,5,1,0,0,19,5,-1766,0
27155,8.8,281,72,17,17,12,6,0,1,0,18,7,1766,1
21134,8,252,82,5,11,7,1,0,0,0,19,5,-1776,0
22910,8.6,313,70,7,9,5,3,0,1,0,22,6,1776,1
21827,8.6,295,84,6,7,9,0,0,1,0,20,7,-2177,1
24004,8.6,324,71,9,11,6,3,0,0,0,16,4,2177,0
24191,8.6,280,74,13,22,5,2,0,2,0,19,4,2952,1
21239,8.6,300,66,5,5,13,0,0,0,0,21,6,-2952,0
23735,8.6,265,80,10,13,11,2,0,1,0,21,4,-561,0
24296,9,299,76,11,8,10,3,0,0,0,17,6,561,1
20376,8.2,282,77,4,3,7,0,0,1,0,21,5,-2704,1
23080,8.6,314,70,7,7,4,3,1,0,0,21,3,2704,0
24603,8.4,298,70,9,12,10,6,0,0,0,25,3,801,0
23802,8.6,329,68,10,12,9,2,0,1,0,21,4,-801,1
23289,8.2,255,52,11,9,13,3,0,0,0,24,3,-59,1
23348,8.6,242,80,13,17,11,1,0,1,0,20,3,59,0
25965,8.8,326,68,15,14,10,4,0,1,0,23,6,1572,1
24393,9,334,72,10,10,15,2,0,0,0,20,6,-1572,0
28702,9.6,338,82,22,14,8,2,0,1,0,22,3,3361,1
25341,9,346,86,8,5,22,4,1,0,0,27,1,-3361,0
24136,8.6,321,74,9,7,23,6,0,0,0,16,7,-7048,0
31184,9.2,319,66,23,25,9,7,1,2,0,27,4,7048,1
26472,8.4,250,82,16,14,21,2,0,0,0,19,6,-3120,0
29592,9,293,70,21,19,16,4,0,1,0,21,4,3120,1
22989,8.4,296,69,8,11,16,0,0,0,0,22,2,-5912,1
28901,9,342,82,16,13,8,5,1,1,0,21,4,5912,0
28991,9.2,345,72,14,16,10,5,2,1,0,21,7,4814,1
24177,8.6,304,64,10,13,14,0,0,0,0,21,7,-4814,0
25876,8.6,284,80,15,11,17,4,0,0,0,23,5,-1639,0
27515,8.6,291,71,17,19,15,2,1,1,0,19,4,1639,1
26134,8.8,241,74,17,20,22,0,0,1,0,21,5,-4583,1
30717,9,280,82,22,20,17,6,1,0,0,19,5,4583,0
27171,8.8,331,92,13,20,5,6,1,1,0,20,3,4697,1
22474,8.2,309,76,5,7,13,1,0,1,0,23,2,-4697,0
24518,8.4,330,60,11,6,14,3,0,0,0,18,4,-2844,0
27362,8.8,280,79,14,16,11,8,2,1,0,18,1,2844,1
25967,8.6,278,60,13,11,15,6,1,1,0,21,3,-2319,0
28286,8.6,332,68,15,24,13,9,1,0,0,22,4,2319,1
26724,8.8,333,70,12,16,11,7,1,1,0,24,10,2558,1
24166,8.2,267,68,11,13,12,2,0,0,0,23,3,-2558,0
26492,8.8,304,77,13,12,9,3,1,1,0,20,2,2989,1
23503,8,271,71,9,15,13,4,0,0,0,17,2,-2989,0
25037,9.2,275,85,15,15,2,4,0,2,0,21,3,4539,1
20498,8.2,274,78,2,1,15,5,0,0,0,14,6,-4539,0
25559,8.6,334,80,11,13,18,0,0,0,0,22,5,-1729,0
27288,8.6,276,72,18,21,11,5,0,1,0,24,3,1729,1
24387,8.4,267,70,15,18,8,2,0,1,0,19,7,-1924,1
26311,8.6,340,94,8,4,15,9,2,1,0,17,2,1924,0
23849,8.4,305,82,10,12,9,2,0,2,0,24,3,-572,1
24421,8.2,305,69,9,8,10,5,1,0,0,21,7,572,0
21536,8.4,308,79,4,3,10,4,0,0,0,22,2,-3705,0
25241,8.8,323,84,10,15,4,5,1,1,0,18,2,3705,1
24824,8.4,276,56,12,16,15,2,0,0,0,21,2,-3410,0
28234,8.6,329,95,15,16,12,8,1,2,0,23,7,3410,1
29983,9.6,361,98,14,14,8,3,3,1,0,22,3,9981,1
20002,8,252,57,8,8,14,1,0,0,0,14,1,-9981,0
36688,9.2,363,80,30,29,8,9,4,2,0,19,4,15149,1
21539,7.8,232,64,8,7,30,0,0,0,0,23,4,-15149,0
27948,8.4,297,84,17,25,9,4,0,2,0,23,7,3322,1
24626,8.2,323,74,9,12,17,3,0,0,0,29,2,-3322,0
28824,8.8,294,66,17,13,18,2,1,2,0,24,7,1681,1
27143,8.2,252,81,18,23,17,1,0,0,0,24,4,-1681,0
30113,8.6,294,64,21,22,22,4,0,1,0,19,4,-588,0
30701,9,309,88,22,19,21,7,1,0,0,20,3,588,1
23327,8.4,283,60,10,6,24,1,0,1,0,18,6,-8693,0
32020,9.2,328,82,24,17,10,8,3,0,0,29,0,8693,1
30841,9.2,337,96,22,18,10,6,1,2,0,21,8,6538,1
24303,8.2,302,76,10,11,22,1,0,0,0,18,3,-6538,0
32153,9.6,377,112,23,22,5,9,1,2,0,22,5,10332,1
21821,8,291,68,5,6,23,2,0,0,0,25,6,-10332,0
29803,9.2,351,80,19,13,13,7,0,1,0,21,4,4639,1
25164,8.8,306,63,13,13,19,0,0,0,0,19,3,-4639,0
24941,9.2,347,100,10,7,6,4,0,0,0,22,8,1121,0
23820,8.8,357,92,6,11,10,1,0,2,0,23,8,-1121,1
22167,8.2,322,57,5,2,17,3,0,0,0,19,3,-7590,0
29757,9.2,366,93,17,17,5,11,1,0,0,20,4,7590,1
32571,9.4,357,123,20,22,11,9,2,2,0,22,8,6219,1
26352,8.8,355,75,11,8,20,4,0,0,0,23,13,-6219,0
27324,8.6,351,87,14,18,11,4,1,1,0,24,6,1771,0
25553,8.6,287,96,11,15,14,4,0,1,0,17,5,-1771,1
26723,9,326,108,14,11,11,4,0,1,0,25,6,1904,1
24819,8.6,348,71,11,5,14,1,0,1,0,23,9,-1904,0
27540,8.8,338,96,15,21,7,6,0,0,0,21,6,4770,1
22770,8.6,318,71,7,11,15,2,0,2,0,21,6,-4770,0
27072,9.4,395,103,9,7,6,7,1,0,0,21,3,2396,1
24676,9.2,407,83,6,10,9,1,0,1,0,24,9,-2396,0
27642,9,340,86,13,14,8,5,0,1,0,29,7,2053,1
25589,8.6,327,78,8,8,13,5,1,0,0,25,5,-2053,0
23614,8.8,315,78,9,6,9,2,0,0,0,27,2,-1439,1
25053,9,344,94,9,10,9,3,0,1,0,20,5,1439,0
28699,8.8,346,87,14,20,9,9,2,1,0,22,6,3020,0
25679,9,382,87,9,13,14,0,0,0,0,19,7,-3020,1
26467,8.6,332,68,12,12,10,4,0,1,0,17,6,56,0
26411,9,351,115,10,8,12,6,1,0,0,21,4,-56,1
25654,8.8,345,90,8,9,19,0,0,1,0,15,7,-6776,0
32430,9.8,389,112,19,22,8,9,3,1,0,22,7,6776,1
24457,8.8,336,72,9,8,16,1,0,0,0,18,4,-3464,0
27921,9.2,366,82,16,15,9,5,0,1,0,21,6,3464,1
27052,9,340,88,12,13,9,5,1,1,0,25,3,1325,1
25727,8.8,325,99,9,10,12,5,1,1,0,25,3,-1325,0
23219,8.8,337,69,8,7,12,2,0,0,0,21,4,-5171,0
